logFC	se	df	t	pval	adjPval	protein	fit_status	model	adjPval_BH
-1.16451992019447	0.219076362399783	6.00043011697071	-5.3155890824469	0.0018023517698575	0.0632995863849063	tr|A0Q685|A0Q685_FRATN	rlm	naive	0.0632995863849063
-2.95290424568404	0.50986069536345	5.25346198930113	-5.79159027659326	0.00183164760603133	0.0632995863849063	tr|A0Q3Y8|A0Q3Y8_FRATN	rlm	naive	0.0632995863849063
-0.763400686073662	0.14698412213574	6.00043011697071	-5.19376293834419	0.00202662112462013	0.068019359323567	sp|A0Q5Y0|COAD_FRATN	rlm	naive	0.068019359323567
0.503655287340562	0.0974482610231332	5.99385620378089	5.16843791826105	0.0020839973920412	0.068019359323567	tr|A0Q678|A0Q678_FRATN	rlm	naive	0.068019359323567
-1.15082105134382	0.225702693537097	5.99746495759339	-5.09883614284232	0.00222672245302722	0.0707134833055943	tr|A0Q569|A0Q569_FRATN	rlm	naive	0.0707134833055943
-0.682600838269193	0.136781114316859	6.00043011697071	-4.99046115889887	0.00247524952032773	0.0748917209793566	tr|A0Q4X6|A0Q4X6_FRATN	rlm	naive	0.0748917209793566
-0.503511302049088	0.100980782486979	6.00043011697071	-4.98620915434094	0.00248576776016588	0.0748917209793566	tr|A0Q5B0|A0Q5B0_FRATN	rlm	naive	0.0748917209793566
-0.575769170923861	0.116017797572108	5.81089895959201	-4.96276591154911	0.00278732561648166	0.0818776899841486	sp|A0Q4K7|RS4_FRATN	rlm	naive	0.0818776899841486
-7.74895632944762	1.5656594033517	5.72403236958729	-4.94932442704904	0.00294643572624412	0.0833258365558421	tr|A0Q5X9|A0Q5X9_FRATN	rlm	naive	0.0833258365558421
-0.61803921105231	0.12875881087568	6.00043011697071	-4.79997607036805	0.00300023576398799	0.0833258365558421	sp|A0Q6S3|HFQ_FRATN	rlm	naive	0.0833258365558421
-0.624717540885628	0.130581777143796	6.00043011697071	-4.78410965565042	0.00304937103991593	0.0833258365558421	tr|A0Q7K2|A0Q7K2_FRATN	rlm	naive	0.0833258365558421
0.865833396932376	0.163281420959598	5.02742807312224	5.3027061612026	0.00313333511865899	0.0836742901005526	tr|A0Q8P4|A0Q8P4_FRATN	rlm	naive	0.0836742901005526
0.484813780508487	0.102527252057338	6.00043011697071	4.72863332216644	0.00322846493666869	0.0842988066796826	tr|A0Q8C2|A0Q8C2_FRATN	rlm	naive	0.0842988066796826
-1.09930307826203	0.210001311593274	5.02201394356419	-5.23474386860563	0.00332524578813646	0.0849383435013119	tr|A0Q5R6|A0Q5R6_FRATN	rlm	naive	0.0849383435013119
-1.26074882058846	0.244346534648826	5.08412374521746	-5.15967546828687	0.00341686266431165	0.0854215666077912	tr|A0Q5Y8|A0Q5Y8_FRATN	rlm	naive	0.0854215666077912
-0.526144642899669	0.109639790815402	5.64643953716211	-4.79884756242858	0.00353943764265169	0.0866424839607446	tr|A0Q5P3|A0Q5P3_FRATN	rlm	naive	0.0866424839607446
-0.893755750606977	0.196700555275536	6.00043011697071	-4.5437378117973	0.00391700865207617	0.0939282686977448	tr|A0Q7D9|A0Q7D9_FRATN	rlm	naive	0.0939282686977448
-1.47089338648538	0.32880184717317	6.00043011697071	-4.47349490013876	0.00422089092172175	0.099190936660461	sp|A0Q6F0|CYSN_FRATN	rlm	naive	0.099190936660461
-0.593332493281957	0.130264058067112	5.64365553653772	-4.55484423014267	0.00451283710473857	0.10080219126654	tr|A0Q5X7|A0Q5X7_FRATN	rlm	naive	0.10080219126654
0.450227475197805	0.101957122085525	5.91996475025912	4.41585115378342	0.00463769938044213	0.10080219126654	tr|A0Q7H8|A0Q7H8_FRATN	rlm	naive	0.10080219126654
-0.565023418362021	0.129221457750409	6.00043011697071	-4.37252007676126	0.00470536862866504	0.10080219126654	sp|A0Q4J1|RL29_FRATN	rlm	naive	0.10080219126654
-0.408917046339647	0.093101294838304	5.89110246015061	-4.3921735680459	0.00481190331696188	0.10080219126654	tr|A0Q666|A0Q666_FRATN	rlm	naive	0.10080219126654
-1.14997574541324	0.248283594201978	5.30292698540507	-4.63170250579562	0.00489462632553495	0.10080219126654	tr|A0Q6R2|A0Q6R2_FRATN	rlm	naive	0.10080219126654
